PRACTICE,SUB_CHAPTER,ITEMS,NIC,ACT COST,QUANTITY,ClusterNumber
discrete,continuous,continuous,continuous,continuous,continuous,continuous
,,,,,,
E85123,601023.0,47.0,2304.07,2137.22,2007.0,0.0
E85124,601023.0,109.0,3177.35,2948.87,3763.0,0.0
E85125,601023.0,65.0,1807.44,1679.4,1862.0,0.0
E85126,601023.0,265.0,10377.29,9629.01,10732.0,2.0
E85127,601023.0,140.0,4615.49,4285.71,3573.0,1.0
E85128,601023.0,100.0,4117.27,3820.93,3054.0,0.0
E85129,601023.0,77.0,3373.87,3217.63,3979.0,2.0
E85130,601023.0,88.0,2623.85,2437.47,1771.0,0.0
E85600,601023.0,141.0,3623.03,3364.28,3084.0,1.0
E85605,601023.0,196.0,5726.35,5316.7,4324.0,1.0
E85617,601023.0,26.0,1371.08,1271.24,1240.0,0.0
E85623,601023.0,42.0,1896.2,1758.53,1570.0,2.0
E85624,601023.0,218.0,7644.92,7096.37,7419.0,2.0
E85625,601023.0,51.0,1587.93,1473.6,1654.0,0.0
E85628,601023.0,112.0,4104.5,3809.76,3747.0,0.0
E85630,601023.0,35.0,1409.81,1307.92,1018.0,0.0
E85633,601023.0,125.0,5053.51,4688.25,4143.0,2.0
E85635,601023.0,51.0,1864.55,1730.53,2614.0,0.0
E85636,601023.0,126.0,3744.23,3478.11,2560.0,0.0
E85640,601023.0,25.0,1308.59,1213.04,1323.0,0.0
E85643,601023.0,139.0,6160.35,5712.75,5445.0,2.0
E85649,601023.0,40.0,2656.52,2461.7,2217.0,0.0
E85656,601023.0,138.0,5187.79,4814.18,4437.0,2.0
E85657,601023.0,141.0,3624.06,3368.78,3249.0,0.0
E85658,601023.0,23.0,1468.85,1361.46,1381.0,1.0
E85659,601023.0,34.0,1550.36,1437.98,2066.0,2.0
E85663,601023.0,347.0,10141.24,9418.72,9893.0,2.0
E85672,601023.0,9.0,562.92,521.83,846.0,1.0
E85677,601023.0,87.0,1506.03,1402.88,1272.0,0.0
E85680,601023.0,84.0,3330.0,3089.68,2908.0,0.0
E85681,601023.0,277.0,10834.93,10052.57,9132.0,2.0
E85682,601023.0,108.0,3812.94,3538.92,3793.0,2.0
E85683,601023.0,62.0,1341.55,1248.33,1231.0,1.0
E85685,601023.0,137.0,3445.63,3204.05,2564.0,1.0
E85687,601023.0,17.0,1003.08,930.15,460.0,0.0
E85692,601023.0,74.0,2181.25,2023.57,1778.0,0.0
E85693,601023.0,76.0,3481.4,3230.52,3802.0,1.0
E85694,601023.0,40.0,1906.57,1767.92,1616.0,1.0
E85696,601023.0,141.0,6175.88,5727.87,8354.0,2.0
E85697,601023.0,111.0,3544.04,3288.86,2609.0,2.0
E85699,601023.0,132.0,4856.48,4504.11,2561.0,2.0
E85700,601023.0,86.0,3183.74,2951.9,6589.0,2.0
E85707,601023.0,153.0,5641.67,5234.55,4781.0,2.0
E85708,601023.0,140.0,3598.97,3338.7,6442.0,2.0
E85712,601023.0,140.0,5825.88,5405.71,5151.0,2.0
E85713,601023.0,53.0,1972.06,1827.74,2258.0,2.0
E85714,601023.0,17.0,905.01,838.81,781.0,1.0
E85715,601023.0,65.0,1878.73,1744.24,1896.0,0.0
E85716,601023.0,320.0,11010.3,10217.24,15020.0,2.0
E85718,601023.0,68.0,3764.05,3488.41,2830.0,2.0
E85719,601023.0,49.0,1684.23,1563.21,1423.0,0.0
E85721,601023.0,59.0,1705.2,1581.81,1900.0,2.0
E85723,601023.0,42.0,2284.96,2117.76,1921.0,2.0
E85725,601023.0,35.0,2535.16,2349.01,1997.0,0.0
E85726,601023.0,51.0,1713.61,1590.93,1364.0,1.0
E85733,601023.0,48.0,2322.95,2152.9,1996.0,2.0
E85734,601023.0,56.0,2331.06,2160.84,1948.0,2.0
E85735,601023.0,75.0,1915.39,1779.43,2172.0,0.0
E85736,601023.0,196.0,5354.31,4970.43,3958.0,2.0
E85739,601023.0,239.0,8985.9,8336.32,7510.0,0.0
E85740,601023.0,27.0,1181.4,1095.45,1076.0,0.0
E85743,601023.0,82.0,2232.51,2074.56,2001.0,2.0
E85744,601023.0,123.0,5414.35,5021.95,3721.0,0.0
E85745,601023.0,346.0,10658.04,9896.4,8680.0,2.0
E85746,601023.0,52.0,1217.5,1131.6,1574.0,0.0
E85748,601023.0,89.0,2418.8,2247.6,2216.0,0.0
E85750,601023.0,189.0,7600.51,7050.97,6352.0,2.0
E86001,601023.0,286.0,11287.01,10471.92,8792.0,3.0
E86003,601023.0,99.0,3028.0,2810.32,2773.0,2.0
E86004,601023.0,123.0,5430.34,5035.15,3376.0,2.0
E86005,601023.0,64.0,2760.5,2559.5,1903.0,1.0
E86006,601023.0,79.0,3791.82,3514.79,2190.0,1.0
E86007,601023.0,140.0,5530.4,5125.52,3889.0,1.0
E86009,601023.0,57.0,3516.27,3257.86,2560.0,1.0
E86010,601023.0,110.0,4005.08,3714.1,2895.0,0.0
E86011,601023.0,46.0,2375.59,2201.57,1663.0,1.0
E86012,601023.0,60.0,2659.38,2466.79,1335.0,1.0
E86014,601023.0,66.0,3797.98,3519.41,3324.0,1.0
E86015,601023.0,269.0,12378.96,11481.75,6887.0,1.0
E86016,601023.0,110.0,4247.3,3939.67,3463.0,2.0
E86017,601023.0,269.0,8544.43,7924.68,8901.0,2.0
E86018,601023.0,282.0,8403.06,7795.22,6599.0,2.0
E86019,601023.0,181.0,8323.39,7719.14,5518.0,2.0
E86020,601023.0,115.0,3448.82,3199.71,3450.0,2.0
E86022,601023.0,45.0,2393.58,2218.1,1712.0,3.0
E86024,601023.0,42.0,2733.52,2532.54,2362.0,3.0
E86026,601023.0,69.0,3078.74,2854.06,2506.0,2.0
E86027,601023.0,107.0,3481.41,3228.47,2700.0,2.0
E86028,601023.0,66.0,4050.48,3753.31,2945.0,1.0
E86029,601023.0,230.0,9070.07,8415.78,6943.0,2.0
E86030,601023.0,41.0,1084.33,1006.6,818.0,0.0
E86033,601023.0,107.0,3978.55,3689.98,2785.0,1.0
E86034,601023.0,23.0,1430.88,1325.7,1028.0,1.0
E86036,601023.0,121.0,5322.52,4935.9,4205.0,1.0
E86038,601023.0,81.0,4183.84,3876.66,4894.0,0.0
E86041,601023.0,104.0,4472.9,4145.96,2916.0,1.0
E86042,601023.0,133.0,4569.77,4237.11,3164.0,0.0
E86605,601023.0,22.0,917.47,850.91,654.0,1.0
E86609,601023.0,91.0,4529.18,4199.31,4026.0,2.0
E86610,601023.0,34.0,1322.83,1227.36,802.0,2.0
E86612,601023.0,115.0,5618.04,5206.3,3544.0,2.0
