PRACTICE,SUB_CHAPTER,ITEMS,NIC,ACT COST,QUANTITY,ClusterNumber
discrete,continuous,continuous,continuous,continuous,continuous,continuous
,,,,,,
A82039,601021.0,104.0,497.52,462.52,9250.0,3.0
A82041,601021.0,244.0,713.5,664.91,18027.0,2.0
A82044,601021.0,289.0,857.11,799.83,19540.0,3.0
A82045,601021.0,106.0,328.89,306.05,8709.0,3.0
A82046,601021.0,58.0,170.98,159.48,3469.0,1.0
A82047,601021.0,143.0,385.07,360.02,10092.0,3.0
A82048,601021.0,109.0,427.83,397.92,8044.0,2.0
A82049,601021.0,79.0,248.73,231.96,6278.0,1.0
A82050,601021.0,96.0,300.03,279.7,6267.0,3.0
A82053,601021.0,44.0,122.28,114.71,2971.0,3.0
A82055,601021.0,131.0,386.01,361.04,10461.0,3.0
A82058,601021.0,91.0,202.3,189.8,6052.0,3.0
A82060,601021.0,133.0,392.19,367.53,7497.0,3.0
A82062,601021.0,50.0,215.81,200.98,4496.0,2.0
A82064,601021.0,79.0,157.17,148.04,4600.0,3.0
A82065,601021.0,39.0,86.24,80.96,2794.0,3.0
A82068,601021.0,56.0,163.36,153.28,4311.0,3.0
A82070,601021.0,60.0,175.1,163.54,3084.0,3.0
A82071,601021.0,67.0,192.5,179.82,4478.0,1.0
A82072,601021.0,106.0,280.9,261.58,7014.0,3.0
A82074,601021.0,40.0,72.04,68.82,1659.0,3.0
A82075,601021.0,91.0,258.72,241.76,6697.0,2.0
A82077,601021.0,69.0,203.24,191.01,4668.0,1.0
A82608,601021.0,52.0,78.58,73.29,1859.0,3.0
A82613,601021.0,12.0,41.24,38.2,678.0,3.0
A82617,601021.0,16.0,35.64,33.01,589.0,3.0
A82621,601021.0,23.0,49.66,46.01,1638.0,3.0
A82623,601021.0,68.0,174.93,163.86,4830.0,3.0
A82629,601021.0,44.0,133.1,124.21,3082.0,2.0
A82631,601021.0,55.0,100.59,93.24,3227.0,3.0
A82646,601021.0,105.0,256.15,241.35,5700.0,3.0
A82647,601021.0,33.0,61.08,56.66,1484.0,3.0
A82650,601021.0,38.0,130.47,120.97,2566.0,3.0
A82651,601021.0,46.0,136.06,126.13,2304.0,3.0
A82654,601021.0,66.0,220.55,206.11,5764.0,1.0
A83001,601021.0,127.0,353.77,335.19,6765.0,1.0
A83003,601021.0,239.0,647.89,613.78,12426.0,2.0
A83004,601021.0,98.0,168.0,162.22,2797.0,2.0
A83005,601021.0,125.0,602.56,566.51,8767.0,3.0
A83006,601021.0,64.0,150.99,142.94,3969.0,1.0
A83007,601021.0,177.0,253.52,245.59,7404.0,2.0
A83008,601021.0,156.0,519.88,493.34,4780.0,2.0
A83009,601021.0,67.0,243.56,229.22,5474.0,3.0
A83010,601021.0,150.0,615.99,580.67,9286.0,3.0
A83011,601021.0,59.0,288.95,269.46,4744.0,0.0
