PRACTICE,SUB_CHAPTER,ITEMS,NIC,ACT COST,QUANTITY,ClusterNumber
discrete,continuous,continuous,continuous,continuous,continuous,continuous
,,,,,,
A82036,601022.0,228.0,1285.31,1197.18,20734.0,3.0
A82037,601022.0,165.0,661.1,615.22,14756.0,3.0
A82038,601022.0,108.0,450.4,417.75,8931.0,3.0
A82039,601022.0,211.0,957.5,890.74,25162.0,3.0
A82041,601022.0,389.0,1257.94,1176.36,34508.0,2.0
A82044,601022.0,778.0,3392.8,3163.48,64643.0,3.0
A82045,601022.0,239.0,895.26,833.65,23072.0,3.0
A82046,601022.0,151.0,583.72,544.76,13186.0,1.0
A82047,601022.0,301.0,1082.54,1009.02,25874.0,3.0
A82048,601022.0,221.0,635.39,595.0,17920.0,2.0
A82049,601022.0,160.0,980.93,912.83,16446.0,1.0
A82050,601022.0,226.0,1045.95,973.78,18732.0,3.0
A82053,601022.0,124.0,449.62,419.91,9618.0,3.0
A82055,601022.0,307.0,1017.19,947.61,26475.0,3.0
A82058,601022.0,138.0,440.93,411.14,11340.0,3.0
A82060,601022.0,216.0,535.78,499.09,18452.0,3.0
A82062,601022.0,151.0,915.27,850.28,19728.0,2.0
A82064,601022.0,238.0,723.54,674.44,20910.0,3.0
A82065,601022.0,140.0,415.3,388.96,10570.0,3.0
A82068,601022.0,94.0,391.41,364.72,10436.0,3.0
A82070,601022.0,162.0,529.94,494.07,12656.0,3.0
A82071,601022.0,168.0,552.26,519.91,12708.0,1.0
A82072,601022.0,250.0,621.49,581.28,19064.0,3.0
A82074,601022.0,78.0,307.03,286.18,6144.0,3.0
A82075,601022.0,230.0,578.46,543.27,17048.0,2.0
A82077,601022.0,152.0,695.76,649.26,12982.0,1.0
A82608,601022.0,153.0,318.84,296.85,8470.0,3.0
A82613,601022.0,26.0,71.86,66.57,1512.0,3.0
A82617,601022.0,97.0,327.62,303.48,5866.0,3.0
A82621,601022.0,52.0,129.42,119.92,3976.0,3.0
A82623,601022.0,167.0,628.12,585.65,14084.0,3.0
A82629,601022.0,112.0,536.78,499.01,12776.0,2.0
A82631,601022.0,83.0,266.09,246.56,6412.0,3.0
A82646,601022.0,214.0,786.54,735.46,15242.0,3.0
A82647,601022.0,83.0,242.03,224.71,5789.0,3.0
A82650,601022.0,80.0,592.03,548.69,6972.0,3.0
A82651,601022.0,109.0,350.89,325.37,7672.0,3.0
A82654,601022.0,186.0,702.93,655.52,19679.0,1.0
A83001,601022.0,396.0,1550.21,1453.68,34789.0,1.0
A83003,601022.0,416.0,1354.61,1275.44,32701.0,2.0
A83004,601022.0,302.0,501.5,482.57,14584.0,2.0
A83005,601022.0,454.0,1707.21,1602.49,35637.0,3.0
A83006,601022.0,237.0,1004.32,937.82,22904.0,1.0
A83007,601022.0,487.0,1538.65,1440.79,32928.0,2.0
A83008,601022.0,324.0,956.19,902.41,22546.0,2.0
A83009,601022.0,248.0,1276.31,1195.92,20143.0,3.0
A83010,601022.0,450.0,2456.69,2299.28,39956.0,3.0
A83011,601022.0,199.0,1193.35,1112.42,24937.0,0.0
A83012,601022.0,715.0,2492.0,2333.67,50226.0,2.0
A83013,601022.0,372.0,1031.35,976.85,27503.0,2.0
A83014,601022.0,197.0,939.29,877.18,21660.0,3.0
A83015,601022.0,510.0,1902.21,1800.59,38239.0,3.0
A83016,601022.0,672.0,1965.61,1853.67,46224.0,2.0
A83017,601022.0,292.0,1201.28,1123.94,27766.0,3.0
A83018,601022.0,1016.0,2715.15,2577.21,63411.0,3.0
A83019,601022.0,193.0,668.14,626.57,12264.0,2.0
A83020,601022.0,427.0,1713.76,1599.16,41486.0,3.0
A83021,601022.0,726.0,2097.79,1965.53,51451.0,2.0
A83022,601022.0,956.0,3275.39,3065.66,86734.0,1.0
A83023,601022.0,757.0,2287.91,2153.28,50248.0,2.0
A83024,601022.0,239.0,858.32,803.59,20339.0,3.0
A83025,601022.0,726.0,2342.83,2205.79,38394.0,2.0
A83026,601022.0,395.0,1379.61,1290.39,32711.0,1.0
A83027,601022.0,218.0,848.02,794.82,20652.0,1.0
A83028,601022.0,404.0,1139.84,1071.45,27860.0,3.0
A83029,601022.0,182.0,622.85,584.27,15499.0,3.0
A83030,601022.0,445.0,1637.73,1535.15,36289.0,1.0
A83031,601022.0,340.0,1226.99,1150.23,29143.0,3.0
A83032,601022.0,154.0,468.04,436.32,9688.0,3.0
A83033,601022.0,372.0,1285.22,1204.44,29897.0,3.0
A83034,601022.0,209.0,738.66,693.07,19390.0,1.0
A83035,601022.0,286.0,970.56,908.38,18625.0,3.0
A83036,601022.0,251.0,821.82,771.18,26353.0,3.0
A83037,601022.0,692.0,2240.7,2110.8,39609.0,3.0
A83038,601022.0,154.0,590.2,553.48,9842.0,1.0
A83040,601022.0,487.0,1457.71,1372.11,37963.0,2.0
A83041,601022.0,544.0,1246.58,1184.41,27711.0,3.0
A83042,601022.0,249.0,881.53,824.85,17720.0,2.0
A83043,601022.0,165.0,494.68,461.2,10955.0,3.0
