PRACTICE,SUB_CHAPTER,ITEMS,NIC,ACT COST,QUANTITY,ClusterNumber
discrete,continuous,continuous,continuous,continuous,continuous,continuous
,,,,,,
A81060,601012.0,43.0,2227.24,2063.61,374.0,1.0
A81063,601011.0,17.0,761.68,705.85,109.0,2.0
A81063,601012.0,58.0,2990.61,2771.15,514.0,2.0
A81064,601011.0,15.0,694.63,643.91,96.0,0.0
A81064,601012.0,32.0,1571.15,1456.0,288.0,0.0
A81065,601011.0,14.0,496.69,460.36,96.0,2.0
A81065,601012.0,36.0,1392.38,1290.38,219.0,2.0
A81066,601011.0,20.0,959.57,888.93,118.0,1.0
A81066,601012.0,37.0,1609.55,1491.1,275.0,1.0
A81067,601011.0,27.0,1273.16,1179.64,200.0,0.0
A81067,601012.0,85.0,3779.17,3501.9,688.0,0.0
A81070,601011.0,41.0,1905.16,1765.25,287.0,0.0
A81070,601012.0,63.0,2969.34,2751.33,476.0,0.0
A81602,601011.0,12.0,439.96,407.68,65.0,3.0
A81602,601012.0,33.0,1324.25,1227.06,235.0,3.0
A81608,601011.0,24.0,826.49,766.36,123.0,2.0
A81608,601012.0,42.0,1886.22,1748.4,294.0,2.0
A81610,601011.0,39.0,1943.08,1800.33,312.0,1.0
A81610,601012.0,76.0,3202.65,2967.49,525.0,1.0
A81611,601011.0,21.0,837.08,775.75,127.0,1.0
A81611,601012.0,37.0,1852.36,1716.69,267.0,1.0
A81612,601011.0,16.0,779.24,722.0,106.0,1.0
A81612,601012.0,43.0,1940.06,1797.58,331.0,1.0
A81618,601011.0,33.0,1259.35,1166.94,193.0,3.0
A81618,601012.0,89.0,3763.87,3487.49,558.0,3.0
A81621,601011.0,4.0,120.12,111.32,20.0,0.0
A81621,601012.0,25.0,1084.3,1004.65,159.0,0.0
A81622,601011.0,14.0,572.48,530.46,88.0,2.0
A81622,601012.0,52.0,2596.19,2405.45,440.0,2.0
A81629,601011.0,17.0,865.79,802.18,119.0,2.0
A81629,601012.0,43.0,1717.65,1591.67,297.0,2.0
A81631,601011.0,12.0,531.4,492.39,80.0,2.0
A81631,601012.0,54.0,2113.84,1958.78,410.0,2.0
A81633,601011.0,1.0,5.89,5.57,1.0,0.0
A81633,601012.0,1.0,21.7,20.11,5.0,0.0
A81634,601011.0,1.0,91.8,85.04,15.0,0.0
A81634,601012.0,7.0,262.89,243.59,45.0,0.0
A82003,601011.0,42.0,2248.97,2083.73,368.0,3.0
A82003,601012.0,70.0,3250.61,3011.81,585.0,3.0
A82004,601011.0,14.0,557.45,516.48,90.0,3.0
A82004,601012.0,22.0,838.78,777.05,135.0,3.0
A82005,601011.0,15.0,623.38,577.64,92.0,3.0
A82005,601012.0,24.0,970.56,899.32,152.0,3.0
A82006,601011.0,21.0,836.13,774.76,130.0,3.0
A82006,601012.0,25.0,1002.84,929.21,165.0,3.0
A82007,601011.0,45.0,2233.22,2069.37,283.0,2.0
A82007,601012.0,69.0,2553.51,2366.64,442.0,2.0
A82008,601011.0,62.0,3330.51,3085.76,541.0,3.0
A82008,601012.0,94.0,4325.9,4008.14,650.0,3.0
A82009,601011.0,52.0,2080.68,1927.94,303.0,2.0
A82009,601012.0,84.0,3600.41,3336.15,572.0,2.0
A82010,601011.0,27.0,1445.17,1338.98,217.0,1.0
A82010,601012.0,57.0,2805.9,2599.75,490.0,1.0
A82012,601011.0,83.0,3559.41,3297.53,541.0,3.0
A82012,601012.0,124.0,5186.37,4804.74,762.0,3.0
A82013,601011.0,41.0,1448.05,1341.47,233.0,3.0
A82013,601012.0,80.0,3485.72,3229.15,550.0,3.0
A82014,601011.0,19.0,771.52,714.74,120.0,3.0
A82014,601012.0,31.0,1187.8,1100.29,187.0,3.0
A82015,601011.0,25.0,1307.45,1211.36,205.0,2.0
A82015,601012.0,37.0,1641.45,1520.9,231.0,2.0
A82016,601011.0,157.0,8714.91,8074.45,1389.0,1.0
A82016,601012.0,332.0,18113.5,16782.44,2795.0,1.0
A82018,601011.0,64.0,2927.52,2712.63,446.0,1.0
A82018,601012.0,97.0,4454.51,4127.43,687.0,1.0
A82019,601011.0,55.0,3591.04,3327.02,489.0,1.0
A82019,601012.0,73.0,3918.69,3630.73,540.0,1.0
A82020,601011.0,71.0,3730.37,3456.37,620.0,1.0
A82020,601012.0,117.0,6520.02,6040.79,991.0,1.0
A82021,601011.0,71.0,3120.35,2891.25,472.0,3.0
A82021,601012.0,131.0,5936.85,5501.12,948.0,3.0
A82022,601011.0,25.0,1002.23,928.44,160.0,3.0
A82022,601012.0,37.0,1493.54,1383.74,237.0,3.0
A82023,601011.0,32.0,1764.79,1634.82,280.0,3.0
A82023,601012.0,81.0,3182.19,2947.81,542.0,3.0
A82024,601011.0,27.0,1445.03,1338.56,219.0,3.0
A82024,601012.0,53.0,2118.99,1962.95,380.0,3.0
A82025,601011.0,41.0,1973.43,1828.49,307.0,1.0
A82025,601012.0,62.0,2874.45,2663.41,427.0,1.0
A82026,601011.0,84.0,3522.2,3263.49,585.0,3.0
A82026,601012.0,130.0,5124.62,4748.16,814.0,3.0
A82027,601011.0,58.0,1988.45,1842.49,351.0,3.0
A82027,601012.0,78.0,2668.35,2472.4,410.0,3.0
A82028,601011.0,35.0,1553.88,1439.62,263.0,3.0
A82028,601012.0,56.0,2465.98,2284.6,372.0,3.0
A82029,601011.0,12.0,487.5,451.59,78.0,3.0
A82029,601012.0,23.0,1396.63,1293.7,200.0,3.0
A82030,601011.0,27.0,937.25,868.32,167.0,3.0
A82030,601012.0,37.0,1828.72,1694.16,261.0,3.0
A82031,601011.0,21.0,1062.51,984.21,157.0,3.0
A82031,601012.0,27.0,1945.72,1802.26,277.0,3.0
A82032,601011.0,103.0,4239.42,3928.31,676.0,3.0
A82032,601012.0,171.0,6354.4,5888.17,1075.0,3.0
A82033,601011.0,30.0,1408.22,1304.79,186.0,3.0
A82033,601012.0,92.0,3074.95,2849.52,588.0,3.0
A82034,601011.0,36.0,1499.12,1388.91,199.0,3.0
A82034,601012.0,36.0,1375.74,1274.57,190.0,3.0
A82035,601011.0,66.0,3038.56,2815.38,486.0,3.0
A82035,601012.0,106.0,4783.17,4431.85,770.0,3.0
A82036,601011.0,58.0,2443.58,2264.17,364.0,3.0
A82036,601012.0,80.0,3710.88,3438.53,526.0,3.0
A82037,601011.0,21.0,1019.23,944.35,153.0,3.0
A82037,601012.0,54.0,2191.82,2030.9,345.0,3.0
A82038,601011.0,29.0,1139.88,1055.89,176.0,3.0
A82038,601012.0,57.0,2606.69,2414.69,408.0,3.0
A82039,601011.0,32.0,1494.4,1384.88,193.0,3.0
A82039,601012.0,70.0,3378.15,3130.09,599.0,3.0
A82041,601011.0,60.0,2952.35,2735.68,463.0,2.0
A82041,601012.0,106.0,4740.22,4392.05,768.0,2.0
A82044,601011.0,121.0,5363.28,4969.67,856.0,3.0
A82044,601012.0,211.0,9005.22,8344.47,1380.0,3.0
A82045,601011.0,44.0,1731.23,1604.37,276.0,3.0
A82045,601012.0,88.0,3933.74,3645.07,635.0,3.0
A82046,601011.0,21.0,860.36,797.21,139.0,1.0
A82046,601012.0,26.0,1103.64,1022.61,170.0,1.0
A82047,601011.0,68.0,2549.78,2362.68,389.0,3.0
A82047,601012.0,84.0,3077.25,2851.47,480.0,3.0
