PRACTICE,SUB_CHAPTER,ITEMS,NIC,ACT COST,QUANTITY,ClusterNumber
A82003,601012,70,3250.61,3011.81,585,3
A82004,601011,14,557.45,516.48,90,3
A82004,601012,22,838.78,777.05,135,3
A82005,601011,15,623.38,577.64,92,3
A82005,601012,24,970.56,899.32,152,3
A82006,601011,21,836.13,774.76,130,3
A82006,601012,25,1002.84,929.21,165,3
A82007,601011,45,2233.22,2069.37,283,2
A82007,601012,69,2553.51,2366.64,442,2
A82008,601011,62,3330.51,3085.76,541,3
A82008,601012,94,4325.9,4008.14,650,3
A82009,601011,52,2080.68,1927.94,303,2
A82009,601012,84,3600.41,3336.15,572,2
A82010,601011,27,1445.17,1338.98,217,1
A82010,601012,57,2805.9,2599.75,490,1
A82012,601011,83,3559.41,3297.53,541,3
A82012,601012,124,5186.37,4804.74,762,3
A82013,601011,41,1448.05,1341.47,233,3
A82013,601012,80,3485.72,3229.15,550,3
A82014,601011,19,771.52,714.74,120,3
A82014,601012,31,1187.8,1100.29,187,3
A82015,601011,25,1307.45,1211.36,205,2
A82015,601012,37,1641.45,1520.9,231,2
A82016,601011,157,8714.91,8074.45,1389,1
A82016,601012,332,18113.5,16782.44,2795,1
A82018,601011,64,2927.52,2712.63,446,1
A82018,601012,97,4454.51,4127.43,687,1
A82019,601011,55,3591.04,3327.02,489,1
A82019,601012,73,3918.69,3630.73,540,1
A82020,601011,71,3730.37,3456.37,620,1
A82020,601012,117,6520.02,6040.79,991,1
A82021,601011,71,3120.35,2891.25,472,3
A82021,601012,131,5936.85,5501.12,948,3
A82022,601011,25,1002.23,928.44,160,3
A82022,601012,37,1493.54,1383.74,237,3
A82023,601011,32,1764.79,1634.82,280,3
A82023,601012,81,3182.19,2947.81,542,3
A82024,601011,27,1445.03,1338.56,219,3
A82024,601012,53,2118.99,1962.95,380,3
A82025,601011,41,1973.43,1828.49,307,1
A82025,601012,62,2874.45,2663.41,427,1
A82026,601011,84,3522.2,3263.49,585,3
A82026,601012,130,5124.62,4748.16,814,3
A82027,601011,58,1988.45,1842.49,351,3
A82027,601012,78,2668.35,2472.4,410,3
A82028,601011,35,1553.88,1439.62,263,3
A82028,601012,56,2465.98,2284.6,372,3
A82029,601011,12,487.5,451.59,78,3
A82029,601012,23,1396.63,1293.7,200,3
A82030,601011,27,937.25,868.32,167,3
A82030,601012,37,1828.72,1694.16,261,3
A82031,601011,21,1062.51,984.21,157,3
A82031,601012,27,1945.72,1802.26,277,3
A82032,601011,103,4239.42,3928.31,676,3
A82032,601012,171,6354.4,5888.17,1075,3
A82033,601011,30,1408.22,1304.79,186,3
A82033,601012,92,3074.95,2849.52,588,3
A82034,601011,36,1499.12,1388.91,199,3
A82034,601012,36,1375.74,1274.57,190,3
A82035,601011,66,3038.56,2815.38,486,3
A82035,601012,106,4783.17,4431.85,770,3
A82036,601011,58,2443.58,2264.17,364,3
A82036,601012,80,3710.88,3438.53,526,3
A82037,601011,21,1019.23,944.35,153,3
A82037,601012,54,2191.82,2030.9,345,3
A82038,601011,29,1139.88,1055.89,176,3
A82038,601012,57,2606.69,2414.69,408,3
A82039,601011,32,1494.4,1384.88,193,3
