PRACTICE,SUB_CHAPTER,Items,NIC,ACT COST,QUANTITY,ClusterNumber
A83001,601022,396,1550.21,1453.68,34789,1
A83003,601022,416,1354.61,1275.44,32701,2
A83004,601022,302,501.5,482.57,14584,2
A83005,601022,454,1707.21,1602.49,35637,3
A83006,601022,237,1004.32,937.82,22904,1
A83007,601022,487,1538.65,1440.79,32928,2
A83008,601022,324,956.19,902.41,22546,2
A83009,601022,248,1276.31,1195.92,20143,3
A83010,601022,450,2456.69,2299.28,39956,3
A83011,601022,199,1193.35,1112.42,24937,0
A83012,601022,715,2492,2333.67,50226,2
A83013,601022,372,1031.35,976.85,27503,2
A83014,601022,197,939.29,877.18,21660,3
A83015,601022,510,1902.21,1800.59,38239,3
A83016,601022,672,1965.61,1853.67,46224,2
A83017,601022,292,1201.28,1123.94,27766,3
A83018,601022,1016,2715.15,2577.21,63411,3
A83019,601022,193,668.14,626.57,12264,2
A83020,601022,427,1713.76,1599.16,41486,3
A83021,601022,726,2097.79,1965.53,51451,2
A83022,601022,956,3275.39,3065.66,86734,1
A83023,601022,757,2287.91,2153.28,50248,2
A83024,601022,239,858.32,803.59,20339,3
A83025,601022,726,2342.83,2205.79,38394,2
A83026,601022,395,1379.61,1290.39,32711,1
A83027,601022,218,848.02,794.82,20652,1
A83028,601022,404,1139.84,1071.45,27860,3
A83029,601022,182,622.85,584.27,15499,3
A83030,601022,445,1637.73,1535.15,36289,1
A83031,601022,340,1226.99,1150.23,29143,3
A83032,601022,154,468.04,436.32,9688,3
A83033,601022,372,1285.22,1204.44,29897,3
A83034,601022,209,738.66,693.07,19390,1
A83035,601022,286,970.56,908.38,18625,3
A83036,601022,251,821.82,771.18,26353,3
A83037,601022,692,2240.7,2110.8,39609,3
A83038,601022,154,590.2,553.48,9842,1
A83040,601022,487,1457.71,1372.11,37963,2
A83041,601022,544,1246.58,1184.41,27711,3
A83042,601022,249,881.53,824.85,17720,2
A83043,601022,165,494.68,461.2,10955,3
A83044,601022,267,1124.43,1054.66,20315,2
A83045,601022,564,2179.99,2044.51,46060,1
A83046,601022,470,1300.78,1217.63,33467,3
A83047,601022,593,2246.99,2113.7,43501,1
A83048,601022,159,734.26,684.72,11851,3
A83049,601022,586,1969.83,1851.97,42173,1
A83050,601022,388,1591.14,1492,32746,1
A83051,601022,449,1575.62,1487.32,33678,1
A83052,601022,413,1111.1,1054.15,21495,3
A83054,601022,678,2575.89,2406.41,57663,3
A83055,601022,132,476.75,447.43,11815,3
A83057,601022,380,867.56,827.34,21343,2
A83060,601022,132,539.22,503.8,8806,3
A83061,601022,114,412.45,382.32,7812,3
A83066,601022,455,1654.53,1556.43,26590,2
A83070,601022,133,365.1,341.51,8638,3
A83071,601022,251,752.85,708.86,19105,1
A83072,601022,74,372.96,347.37,8153,3
A83073,601022,272,910.66,856.92,19410,3
A83074,601022,630,2331.58,2184.12,50373,2
A83075,601022,370,734.88,700.19,18959,3
A83076,601022,147,480.54,452.46,7329,3
A83603,601022,113,366.18,344.68,8664,2
A83610,601022,127,286.05,272.37,7364,2
A83616,601022,135,411.87,386.65,9526,2
A83617,601022,167,457.5,431.04,12109,1
A83618,601022,172,444.99,415.51,10577,1
A83619,601022,255,697.26,655.23,16450,2
A83622,601022,109,348.63,323.56,8393,3
A83626,601022,125,342.05,318.76,7532,3
A83627,601022,328,730.94,694.97,18410,2
A83630,601022,118,399.23,376.79,8246,2
A83632,601022,113,538.73,502.63,15995,2
A83634,601022,179,490.57,461.74,11536,2
A83635,601022,157,540.9,506.76,10436,1
A83636,601022,281,683.03,645.67,15022,1
A83637,601022,125,344.9,324.93,8759,2
A83641,601022,168,521.93,488.05,12838,2
A83644,601022,217,919.92,857.2,20184,2
A84002,601022,103,601.69,561.34,13400,3
A84003,601022,516,2179.28,2029.96,47492,1
A84005,601022,376,2086.81,1945.4,35733,1
A84006,601022,818,3051.22,2859.63,62930,3
A84007,601022,518,1422.91,1335.2,32438,3
A84008,601022,164,589.97,549.81,14621,3
A84009,601022,792,3018.94,2820.92,82633,1
A84011,601022,196,564.4,529.22,16104,3
A84013,601022,252,1002.5,934.24,22771,2
A84014,601022,289,1630.64,1518.03,44322,3
A84015,601022,174,469.55,445.58,11206,2
A84016,601022,179,771.76,718.71,18702,1
A84018,601022,174,455.85,426.81,12397,3
A84020,601022,252,1484.67,1381.87,33818,3
A84022,601022,406,1913.16,1791.93,34357,3
A84024,601022,223,1169.17,1093.11,18706,3
A84025,601022,144,466.5,436.5,11943,3
A84026,601022,333,1929.34,1805.17,35336,3
A84027,601022,117,347.04,325.73,6727,3
A84028,601022,728,3591.44,3350.52,64435,2
A84029,601022,169,391.14,365.82,10668,3
A84030,601022,312,1468.98,1378.82,31988,3
A84031,601022,177,802.38,747.35,21433,3
A84032,601022,104,375.59,349.52,7410,3
A84033,601022,127,435.08,408.41,10696,3
A84034,601022,225,643.66,604.68,17727,3
A84035,601022,207,764,712.9,17983,3
A84036,601022,939,3076.72,2892.64,70260,3
A84037,601022,213,800.99,751.98,17773,3
A84038,601022,339,1407.03,1322.29,28411,3
A84039,601022,146,505.76,473.66,12789,3
A84040,601022,120,279.05,259.57,6847,3
A84042,601022,82,231.4,214.37,6748,3
A84043,601022,531,2735.52,2546.95,60135,1
A84044,601022,303,1090.19,1020.62,22919,3
A84045,601022,184,642.82,602.77,13202,3
A84047,601022,177,473.96,447.97,10217,3
A84604,601022,86,374.61,348.01,7244,3
A84609,601022,79,262.39,243.16,6426,3
A84614,601022,69,313.16,292.76,6457,3
A84619,601022,101,653.83,608.86,10710,1
A85001,601022,215,727.47,684.74,16219,1
A85002,601022,195,519.05,490.03,14567,3
A85003,601022,263,888.44,831.9,21231,3
A85004,601022,386,1375.39,1296.7,29000,2
A85005,601022,634,2122.29,2002.06,43542,2
A85006,601022,366,1452.61,1369.86,22792,1
A85007,601022,199,784.59,737.58,16557,1
A85008,601022,708,2580.41,2437.54,44159,3
A85009,601022,305,991.85,934.22,19225,2
A85010,601022,314,1351.62,1263.97,30469,1
A85011,601022,320,915.93,864.93,20411,2
A85012,601022,185,653.81,618.49,15626,2
A85013,601022,180,500.52,473.75,10299,2
A85014,601022,295,1119.79,1055.07,16868,3
A85016,601022,631,1913.89,1808.02,38049,2
A85017,601022,253,593.51,567.03,13242,0
A85018,601022,181,627.59,590.77,13401,3
A85019,601022,305,1393.67,1299.54,30569,2
